comparison,cell_group,panel,n_case,n_reference,mean_z_case,mean_z_reference,delta_mean_z,p_value,fdr_within_celltype_comparison,q_bh_91
CIDP_vs_CIAP,Macrophage,BNB_identity_integrity,9,11,0.1042285005758767,0.0500626378886057,0.0541658626872709,0.648503379652976,0.9394400080349974,1.0
CIDP_vs_CIAP,Macrophage,Leukocyte_transmigration,9,11,-0.1680079568841136,0.1772057311682146,-0.3452136880523282,0.0185134737753539,0.0740538951014156,0.434175902409834
CIDP_vs_CIAP,Macrophage,CXCL8_CXCR1_2,9,11,0.0370083885031408,0.1516144959023583,-0.1146061073992174,0.8790477722505494,0.9394400080349974,1.0
CIDP_vs_CIAP,Macrophage,LIF_LIFR,9,11,-0.0052959210409895,-0.0098030852590772,0.0045071642180877,0.9394400080349974,0.9394400080349974,1.0
CIDP_vs_CIAP,Macrophage,Complement,9,11,-0.1522857303404053,-0.0429192185498081,-0.1093665117905972,0.8197075378297883,0.9394400080349974,1.0
CIDP_vs_CIAP,Macrophage,Fc_receptor,9,11,-0.4116770666748427,0.2611901064561218,-0.6728671731309646,0.001087436576734,0.0086994926138723,0.0989567284827939
CIDP_vs_CIAP,Macrophage,Macrophage_state,9,11,-0.2084054766791021,0.1597570624344982,-0.3681625391136003,0.033398146339218,0.089061723571248,0.434175902409834
CIDP_vs_CIAP,Macrophage,Schwann_myelin_repair,9,11,-0.0143612427109814,0.0752888884310433,-0.0896501311420248,0.5948534237883254,0.9394400080349974,1.0
CIDP_vs_CIAP,BNB_EC,BNB_identity_integrity,9,11,-0.1684874889704785,0.2353887016495928,-0.4038761906200714,0.0275779915633285,0.2206239325066281,0.434175902409834
CIDP_vs_CIAP,BNB_EC,Leukocyte_transmigration,9,11,-0.0908425248099916,-0.0086220379363893,-0.0822204868736022,0.4474117020093185,0.7905992710548221,1.0
CIDP_vs_CIAP,BNB_EC,CXCL8_CXCR1_2,9,11,0.0904233311631933,0.1144776855374634,-0.02405435437427,0.440257435859737,0.7905992710548221,1.0
CIDP_vs_CIAP,BNB_EC,LIF_LIFR,9,11,-0.0251248595053679,-0.0787494072230562,0.0536245477176883,0.7612079858009609,1.0,1.0
CIDP_vs_CIAP,BNB_EC,Complement,9,11,0.041434206158379,-0.0730924755523879,0.1145266817107669,0.4941245444092638,0.7905992710548221,1.0
CIDP_vs_CIAP,BNB_EC,Fc_receptor,9,11,-0.0111805592635,0.1805466443046274,-0.1917272035681275,0.3619347669211923,0.7905992710548221,1.0
CIDP_vs_CIAP,BNB_EC,Macrophage_state,9,11,-0.0343607564023483,0.090983156670139,-0.1253439130724874,1.0,1.0,1.0
CIDP_vs_CIAP,BNB_EC,Schwann_myelin_repair,9,11,0.0036036582985306,-0.0024096695918524,0.006013327890383,1.0,1.0,1.0
CIDP_vs_CIAP,Perineurium,BNB_identity_integrity,9,11,0.2815973884491039,-0.172942347886359,0.4545397363354629,0.1286431389530742,0.1701479927993933,0.7941941759041643
